predict,p0,p1,Pclass,Embarked,cabine_prefix,Ticket_str,NameTitle,Fare,SibSp,Parch,Age_Mean,Ticket_int,Survived
0,0.877786816643259,0.122213183356741,3,S,missing,nan,Mr,8,0,0,35,373450,0
0,0.7781837695007318,0.2218162304992682,3,Q,missing,nan,Mr,8,0,0,29,330877,0
1,0.5637688407682699,0.4362311592317301,1,S,E,nan,Mr,51,0,0,54,17463,0
1,0.6433584893645967,0.3566415106354032,3,S,missing,nan,Master,21,3,1,2,349909,0
1,0.4296039027193189,0.5703960972806811,3,S,G,PPP,Miss,16,1,1,4,9549,1
0,0.9139330306728488,0.0860669693271513,3,S,missing,A,Mr,8,0,0,20,52151,0
0,0.8395656043141887,0.1604343956858113,3,S,missing,nan,Mr,31,1,5,39,347082,0
1,0.330351958361578,0.669648041638422,2,S,missing,nan,Mrs,16,0,0,55,248706,1
1,0.7075318779873263,0.2924681220126737,3,S,missing,nan,Miss,21,3,1,8,349909,0
0,0.7515287274121889,0.2484712725878111,3,C,missing,nan,Mr,7,0,0,29,2631,0
0,0.8614577259160694,0.1385422740839306,3,S,missing,nan,Mr,7,0,0,29,349216,0
1,0.7117731355032935,0.2882268644967065,1,C,missing,PC,LOW,27,0,0,40,17601,0
1,0.6938324704555806,0.3061675295444194,1,S,missing,nan,Mr,52,1,0,42,113789,0
1,0.5680465649510487,0.4319534350489513,3,S,missing,nan,Miss,18,2,0,18,345764,0
1,0.3845564389007045,0.6154435610992954,3,Q,missing,nan,Miss,7,0,0,19,330958,1
0,0.7362522777905471,0.2637477222094529,3,C,missing,nan,Mr,21,2,0,29,2662,0
1,0.5165913177522922,0.4834086822477078,3,S,missing,nan,Mrs,17,1,0,18,349237,0
0,0.9028303687993298,0.0971696312006702,3,S,missing,A,Mr,7,0,0,21,439886,0
1,0.3786231171647712,0.6213768828352287,2,S,missing,nan,Mrs,26,1,0,29,2926,1
0,0.7272446046820076,0.2727553953179925,1,C,B,nan,Mr,61,0,1,65,113509,0
0,0.8114784540852141,0.1885215459147858,3,S,missing,CA,Master,46,5,2,11,2144,0
1,0.6028746310366895,0.3971253689633105,1,S,C,nan,Mr,83,1,0,45,36973,0
0,0.7756338617410934,0.2243661382589066,1,C,missing,PC,Mr,27,0,0,29,17605,0
1,0.2044945490399863,0.7955054509600137,2,S,F,CA,Mrs,10,0,0,29,29395,1
0,0.8628895090932527,0.1371104909067473,3,S,missing,nan,Mr,8,2,0,26,315151,0
0,0.8614577259160694,0.1385422740839306,3,S,missing,nan,Mr,7,0,0,29,349208,0
1,0.5965143253267388,0.4034856746732612,3,S,missing,nan,Miss,12,0,0,30,364516,1
1,0.3731761991219061,0.6268238008780939,3,Q,missing,nan,Miss,7,0,0,29,330932,1
0,0.7388904477567251,0.261109552243275,3,S,missing,nan,Mrs,15,3,0,33,3101278,1
0,0.8410032479557759,0.1589967520442242,3,S,missing,SOTONOQ,Mr,8,0,0,29,392086,0
0,0.8683715116830165,0.1316284883169834,3,S,missing,nan,Mr,8,0,0,29,343276,0
0,0.8790376022755837,0.1209623977244163,3,S,missing,nan,Mr,7,0,0,20,347466,0
0,0.8277819052446314,0.1722180947553686,3,S,missing,CA,Mr,20,1,2,26,2315,0
1,0.4149859094930129,0.585014090506987,1,C,D,PC,Mr,63,0,1,23,17759,1
0,0.9030851747147166,0.0969148252852833,3,S,missing,nan,Mr,7,0,0,38,349249,0
1,0.5800004213946998,0.4199995786053002,1,S,D,nan,Mr,77,0,1,54,35281,0
0,0.7874777503279854,0.2125222496720146,3,Q,missing,nan,Mr,7,0,0,29,370372,0
0,0.8788159960416736,0.1211840039583263,3,S,missing,CA,Mr,7,0,0,24,17369,1
0,0.8064178112621115,0.1935821887378884,3,S,missing,SOTONOQ,Mr,7,0,0,20,3101307,0
1,0.306996630995204,0.693003369004796,2,S,missing,nan,Mrs,26,1,0,29,228414,1
1,0.5962897687142138,0.4037102312857862,1,C,B,PC,Mr,79,0,0,24,17593,0
0,0.7942387461643915,0.2057612538356085,3,Q,missing,nan,Mr,6,0,0,19,365222,0
1,0.6745756313930544,0.3254243686069455,3,S,missing,WC,Miss,34,2,2,9,6608,0
0,0.714392756757773,0.2856072432422269,2,S,F,nan,Mr,26,0,2,36,230080,0
0,0.7723248718498819,0.2276751281501181,2,S,missing,LOW,LOW,12,0,0,51,1166,0
0,0.8791039787235964,0.1208960212764037,3,S,missing,A,Mr,14,0,2,40,5851,0
1,0.6881361452239061,0.3118638547760939,1,C,missing,PC,Mr,61,0,1,51,17597,0
0,0.7570001561451161,0.2429998438548839,3,S,missing,nan,Mrs,27,1,4,45,347088,0
1,0.6456666794387076,0.3543333205612924,3,S,missing,STONO,Mr,7,0,0,21,23101280,0
0,0.8154853487400824,0.1845146512599176,3,S,missing,nan,Master,25,3,1,29,4133,0
0,0.7794483578747701,0.2205516421252299,2,C,missing,SCPARIS,Mr,15,0,0,29,2131,0
1,0.1216896274851198,0.8783103725148802,2,S,F,nan,Master,39,2,1,1,230136,1
0,0.717410099501665,0.282589900498335,1,S,A,nan,Mr,50,0,0,29,113767,0
0,0.7389431238753251,0.2610568761246749,1,S,missing,nan,Mr,26,0,0,45,111428,1
1,0.3591515497156866,0.6408484502843134,2,S,missing,nan,Mrs,13,0,0,32,234604,1
1,0.4007436083599612,0.5992563916400387,3,Q,missing,nan,Miss,7,0,0,29,370370,1
0,0.8799791400341415,0.1200208599658585,3,S,missing,nan,Mr,6,0,0,34,3101264,0
0,0.9106907624465936,0.0893092375534064,3,S,missing,A,Mr,8,0,0,18,53540,1
0,0.8381085249253126,0.1618914750746874,3,S,missing,nan,Mr,8,0,0,51,21440,0
0,0.8968874795190651,0.1031125204809348,3,S,missing,A,Mr,7,0,0,20,521173,0
0,0.8372932200618611,0.1627067799381389,3,S,missing,nan,Miss,25,3,1,29,4133,0
0,0.8719864715692704,0.1280135284307295,2,S,missing,CA,Mr,10,0,0,24,29566,0
0,0.858853605443604,0.141146394556396,2,S,missing,WC,Mr,10,0,0,29,14263,0
0,0.8537293968969071,0.1462706031030928,3,S,missing,nan,Mr,7,0,0,29,362316,0
1,0.4529592561339441,0.5470407438660558,3,C,missing,nan,Mrs,15,0,2,29,2650,1
1,0.6804151220279553,0.3195848779720447,1,S,B,nan,Mr,0,0,0,40,112059,0
1,0.4125962028135069,0.587403797186493,3,Q,missing,nan,Miss,7,0,0,29,382649,0
0,0.8753879872566973,0.1246120127433027,3,S,missing,nan,Mr,7,1,0,25,347083,1
0,0.8811860528353314,0.1188139471646686,2,S,missing,nan,Mr,0,0,0,29,239853,0
1,0.6413676263374384,0.3586323736625616,3,Q,missing,nan,Master,29,4,1,7,382652,0
0,0.8573347702373766,0.1426652297626234,3,Q,missing,nan,Mr,7,0,0,65,336439,0
1,0.6794597310803963,0.3205402689196038,1,S,A,nan,Mr,26,0,0,29,113056,0
0,0.8624560877261278,0.1375439122738722,2,S,missing,nan,Mr,13,0,0,42,237798,1
1,0.379113439363677,0.620886560636323,3,Q,missing,nan,Miss,7,0,0,29,9234,1
0,0.9108162928143136,0.0891837071856865,3,S,missing,A,Mr,8,0,0,29,52466,0
1,0.0949894920441666,0.9050105079558334,1,C,E,nan,Mrs,134,1,1,40,16966,1
1,0.5661173437099916,0.4338826562900085,3,S,missing,nan,Mrs,20,1,1,31,363291,1
1,0.1543585630161033,0.8456414369838967,1,C,B,nan,Miss,57,0,1,16,111361,1
0,0.8490039594337573,0.1509960405662427,3,S,missing,nan,Mr,9,0,0,23,7267,0
1,0.1425046812025288,0.8574953187974712,1,S,E,nan,Miss,55,0,1,22,113505,1
1,0.4173863475191806,0.5826136524808194,2,S,missing,nan,Miss,13,0,0,38,237671,0
1,0.3731761991219061,0.6268238008780939,3,Q,missing,nan,Miss,7,0,0,29,330980,1
0,0.8903288636955045,0.1096711363044955,3,S,missing,nan,Mr,27,1,4,40,347088,0
1,0.5046417123111666,0.4953582876888334,3,C,missing,nan,Mrs,14,0,1,45,2691,0
1,0.099448417605038,0.9005515823949619,1,C,D,nan,Mrs,75,1,0,60,110813,1
1,0.3199680904257065,0.6800319095742935,3,Q,missing,nan,Miss,7,0,0,29,14313,1
1,0.5612652794070467,0.4387347205929533,1,C,C,nan,Mr,211,0,2,27,113503,0
0,0.7728594171832529,0.2271405828167471,3,C,missing,nan,Mr,4,0,0,20,2648,0
1,0.7098472014914619,0.2901527985085381,3,S,missing,STONO,Mr,7,0,0,32,23101293,0
0,0.7550130892366883,0.2449869107633117,3,S,missing,CA,Master,46,5,2,1,2144,0
1,0.582381545318706,0.4176184546812939,1,S,B,nan,Mr,120,1,2,36,113760,1
0,0.8860771436767787,0.1139228563232213,3,S,missing,nan,Mr,7,0,0,21,350034,1
