,Pclass,Embarked,cabine_prefix,Ticket_str,NameTitle,SibSp,Parch,Age_Mean,Ticket_int,Survived,Predict
4,3,S,missing,missing,Mr,0,0,35,373450,0,0
5,3,Q,missing,missing,Mr,0,0,29,330877,0,0
6,1,S,E,missing,Mr,0,0,54,17463,0,0
7,3,S,missing,missing,Master,3,1,2,349909,0,0
10,3,S,G,PPP,Miss,1,1,4,9549,0,0
12,3,S,missing,A,Mr,0,0,20,52151,0,0
13,3,S,missing,missing,Mr,1,5,39,347082,0,0
15,2,S,missing,missing,Mrs,0,0,55,248706,0,0
24,3,S,missing,missing,Miss,3,1,8,349909,0,0
26,3,C,missing,missing,Mr,0,0,29,2631,0,0
29,3,S,missing,missing,Mr,0,0,29,349216,0,0
30,1,C,missing,PC,LOW,0,0,40,17601,0,0
35,1,S,missing,missing,Mr,1,0,42,113789,0,0
38,3,S,missing,missing,Miss,2,0,18,345764,0,0
44,3,Q,missing,missing,Miss,0,0,19,330958,0,0
48,3,C,missing,missing,Mr,2,0,29,2662,0,0
49,3,S,missing,missing,Mrs,1,0,18,349237,0,0
51,3,S,missing,A,Mr,0,0,21,439886,0,0
53,2,S,missing,missing,Mrs,1,0,29,2926,0,0
54,1,C,B,missing,Mr,0,1,65,113509,0,0
59,3,S,missing,CA,Master,5,2,11,2144,0,0
62,1,S,C,missing,Mr,1,0,45,36973,0,0
64,1,C,missing,PC,Mr,0,0,29,17605,0,0
66,2,S,F,CA,Mrs,0,0,29,29395,0,0
69,3,S,missing,missing,Mr,2,0,26,315151,0,0
76,3,S,missing,missing,Mr,0,0,29,349208,0,0
79,3,S,missing,missing,Miss,0,0,30,364516,0,0
82,3,Q,missing,missing,Miss,0,0,29,330932,0,0
85,3,S,missing,missing,Mrs,3,0,33,3101278,0,0
87,3,S,missing,SOTONOQ,Mr,0,0,29,392086,0,0
90,3,S,missing,missing,Mr,0,0,29,343276,0,0
91,3,S,missing,missing,Mr,0,0,20,347466,0,0
93,3,S,missing,CA,Mr,1,2,26,2315,0,0
97,1,C,D,PC,Mr,0,1,23,17759,0,0
108,3,S,missing,missing,Mr,0,0,38,349249,0,0
124,1,S,D,missing,Mr,0,1,54,35281,0,0
126,3,Q,missing,missing,Mr,0,0,29,370372,0,0
127,3,S,missing,CA,Mr,0,0,24,17369,0,0
131,3,S,missing,SOTONOQ,Mr,0,0,20,3101307,0,0
133,2,S,missing,missing,Mrs,1,0,29,228414,0,0
139,1,C,B,PC,Mr,0,0,24,17593,0,0
143,3,Q,missing,missing,Mr,0,0,19,365222,0,0
147,3,S,missing,WC,Miss,2,2,9,6608,0,0
148,2,S,F,missing,Mr,0,2,36,230080,0,0
150,2,S,missing,LOW,LOW,0,0,51,1166,0,0
153,3,S,missing,A,Mr,0,2,40,5851,0,0
155,1,C,missing,PC,Mr,0,1,51,17597,0,0
167,3,S,missing,missing,Mrs,1,4,45,347088,0,0
173,3,S,missing,STONO,Mr,0,0,21,23101280,0,0
176,3,S,missing,missing,Master,3,1,29,4133,0,0
181,2,C,missing,SCPARIS,Mr,0,0,29,2131,0,0
183,2,S,F,missing,Master,2,1,1,230136,0,0
185,1,S,A,missing,Mr,0,0,29,113767,0,0
187,1,S,missing,missing,Mr,0,0,45,111428,0,0
190,2,S,missing,missing,Mrs,0,0,32,234604,0,0
198,3,Q,missing,missing,Miss,0,0,29,370370,0,0
202,3,S,missing,missing,Mr,0,0,34,3101264,0,0
204,3,S,missing,A,Mr,0,0,18,53540,0,0
222,3,S,missing,missing,Mr,0,0,51,21440,0,0
227,3,S,missing,A,Mr,0,0,20,521173,0,0
229,3,S,missing,missing,Miss,3,1,29,4133,0,0
234,2,S,missing,CA,Mr,0,0,24,29566,0,0
242,2,S,missing,WC,Mr,0,0,29,14263,0,0
250,3,S,missing,missing,Mr,0,0,29,362316,0,0
255,3,C,missing,missing,Mrs,0,2,29,2650,0,0
258,1,C,missing,PC,Miss,0,0,35,17755,0,0
263,1,S,B,missing,Mr,0,0,40,112059,0,0
264,3,Q,missing,missing,Miss,0,0,29,382649,0,0
267,3,S,missing,missing,Mr,1,0,25,347083,0,0
277,2,S,missing,missing,Mr,0,0,29,239853,0,0
278,3,Q,missing,missing,Master,4,1,7,382652,0,0
280,3,Q,missing,missing,Mr,0,0,65,336439,0,0
284,1,S,A,missing,Mr,0,0,29,113056,0,0
