Pclass,Embarked,cabine_prefix,Ticket_str,NameTitle,Fare,SibSp,Parch,Age_Mean,Ticket_int,Survived,PassengerId,ReferenceDate,dataset
3,S,missing,A,Mr,7.25,1.0,0.0,22.0,521171.0,0,1,1912-05,train
1,C,C,PC,Mrs,71.2833,1.0,0.0,38.0,17599.0,1,2,1912-04,train
3,S,missing,STONO,Miss,7.925,0.0,0.0,26.0,23101282.0,1,3,1912-06,train
1,S,C,missing,Mrs,53.1,1.0,0.0,35.0,113803.0,1,4,1912-04,train
3,S,missing,missing,Mr,8.05,0.0,0.0,35.0,373450.0,0,5,1912-07,test
3,Q,missing,missing,Mr,8.4583,0.0,0.0,29.69911764705882,330877.0,0,6,1912-07,test
1,S,E,missing,Mr,51.8625,0.0,0.0,54.0,17463.0,0,7,1912-07,test
3,S,missing,missing,Master,21.075,3.0,1.0,2.0,349909.0,0,8,1912-07,test
3,S,missing,missing,Mrs,11.1333,0.0,2.0,27.0,347742.0,1,9,1912-05,train
2,C,missing,missing,Mrs,30.0708,1.0,0.0,14.0,237736.0,1,10,1912-04,train
3,S,G,PPP,Miss,16.7,1.0,1.0,4.0,9549.0,1,11,1912-07,test
1,S,C,missing,Miss,26.55,0.0,0.0,58.0,113783.0,1,12,1912-04,train
3,S,missing,A,Mr,8.05,0.0,0.0,20.0,52151.0,0,13,1912-07,test
3,S,missing,missing,Mr,31.275,1.0,5.0,39.0,347082.0,0,14,1912-07,test
3,S,missing,missing,Miss,7.8542,0.0,0.0,14.0,350406.0,0,15,1912-04,train
2,S,missing,missing,Mrs,16.0,0.0,0.0,55.0,248706.0,1,16,1912-07,test
3,Q,missing,missing,Master,29.125,4.0,1.0,2.0,382652.0,0,17,1912-06,train
2,S,missing,missing,Mr,13.0,0.0,0.0,29.69911764705882,244373.0,1,18,1912-05,train
3,S,missing,missing,Mrs,18.0,1.0,0.0,31.0,345763.0,0,19,1912-04,train
3,C,missing,missing,Mrs,7.225,0.0,0.0,29.69911764705882,2649.0,1,20,1912-06,train
2,S,missing,missing,Mr,26.0,0.0,0.0,35.0,239865.0,0,21,1912-04,train
2,S,D,missing,Mr,13.0,0.0,0.0,34.0,248698.0,1,22,1912-04,train
3,Q,missing,missing,Miss,8.0292,0.0,0.0,15.0,330923.0,1,23,1912-04,train
1,S,A,missing,Mr,35.5,0.0,0.0,28.0,113788.0,1,24,1912-04,train
3,S,missing,missing,Miss,21.075,3.0,1.0,8.0,349909.0,0,25,1912-07,test
3,S,missing,missing,Mrs,31.3875,1.0,5.0,38.0,347077.0,1,26,1912-05,train
3,C,missing,missing,Mr,7.225,0.0,0.0,29.69911764705882,2631.0,0,27,1912-07,test
1,S,C,missing,Mr,263.0,3.0,2.0,19.0,19950.0,0,28,1912-04,train
3,Q,missing,missing,Miss,7.8792,0.0,0.0,29.69911764705882,330959.0,1,29,1912-05,train
3,S,missing,missing,Mr,7.8958,0.0,0.0,29.69911764705882,349216.0,0,30,1912-07,test
1,C,missing,PC,LOW,27.7208,0.0,0.0,40.0,17601.0,0,31,1912-07,test
1,C,B,PC,Mrs,146.5208,1.0,0.0,29.69911764705882,17569.0,1,32,1912-05,train
3,Q,missing,missing,Miss,7.75,0.0,0.0,29.69911764705882,335677.0,1,33,1912-06,train
2,S,missing,CA,Mr,10.5,0.0,0.0,66.0,24579.0,0,34,1912-05,train
1,C,missing,PC,Mr,82.1708,1.0,0.0,28.0,17604.0,0,35,1912-05,train
1,S,missing,missing,Mr,52.0,1.0,0.0,42.0,113789.0,0,36,1912-07,test
3,C,missing,missing,Mr,7.2292,0.0,0.0,29.69911764705882,2677.0,1,37,1912-06,train
3,S,missing,A,Mr,8.05,0.0,0.0,21.0,52152.0,0,38,1912-04,train
3,S,missing,missing,Miss,18.0,2.0,0.0,18.0,345764.0,0,39,1912-07,test
3,C,missing,missing,Miss,11.2417,1.0,0.0,14.0,2651.0,1,40,1912-04,train
3,S,missing,missing,Mrs,9.475,1.0,0.0,40.0,7546.0,0,41,1912-05,train
2,S,missing,missing,Mrs,21.0,1.0,0.0,27.0,11668.0,0,42,1912-06,train
3,C,missing,missing,Mr,7.8958,0.0,0.0,29.69911764705882,349253.0,0,43,1912-04,train
2,C,missing,SCParis,Miss,41.5792,1.0,2.0,3.0,2123.0,1,44,1912-06,train
3,Q,missing,missing,Miss,7.8792,0.0,0.0,19.0,330958.0,1,45,1912-07,test
3,S,missing,LOW,Mr,8.05,0.0,0.0,29.69911764705882,423567.0,0,46,1912-05,train
3,Q,missing,missing,Mr,15.5,1.0,0.0,29.69911764705882,370371.0,0,47,1912-06,train
3,Q,missing,missing,Miss,7.75,0.0,0.0,29.69911764705882,14311.0,1,48,1912-06,train
3,C,missing,missing,Mr,21.6792,2.0,0.0,29.69911764705882,2662.0,0,49,1912-07,test
3,S,missing,missing,Mrs,17.8,1.0,0.0,18.0,349237.0,0,50,1912-07,test
3,S,missing,missing,Master,39.6875,4.0,1.0,7.0,3101295.0,0,51,1912-04,train
3,S,missing,A,Mr,7.8,0.0,0.0,21.0,439886.0,0,52,1912-07,test
1,C,D,PC,Mrs,76.7292,1.0,0.0,49.0,17572.0,1,53,1912-05,train
2,S,missing,missing,Mrs,26.0,1.0,0.0,29.0,2926.0,1,54,1912-07,test
1,C,B,missing,Mr,61.9792,0.0,1.0,65.0,113509.0,0,55,1912-07,test
1,S,C,missing,Mr,35.5,0.0,0.0,29.69911764705882,19947.0,1,56,1912-05,train
2,S,missing,CA,Miss,10.5,0.0,0.0,21.0,31026.0,1,57,1912-06,train
3,C,missing,missing,Mr,7.2292,0.0,0.0,28.5,2697.0,0,58,1912-06,train
2,S,missing,CA,Miss,27.75,1.0,2.0,5.0,34651.0,1,59,1912-04,train
3,S,missing,CA,Master,46.9,5.0,2.0,11.0,2144.0,0,60,1912-07,test
3,C,missing,missing,Mr,7.2292,0.0,0.0,22.0,2669.0,0,61,1912-04,train
1,Missing,B,missing,Miss,80.0,0.0,0.0,38.0,113572.0,1,62,1912-05,train
1,S,C,missing,Mr,83.475,1.0,0.0,45.0,36973.0,0,63,1912-07,test
3,S,missing,missing,Master,27.9,3.0,2.0,4.0,347088.0,0,64,1912-06,train
1,C,missing,PC,Mr,27.7208,0.0,0.0,29.69911764705882,17605.0,0,65,1912-07,test
3,C,missing,missing,Master,15.2458,1.0,1.0,29.69911764705882,2661.0,1,66,1912-04,train
2,S,F,CA,Mrs,10.5,0.0,0.0,29.0,29395.0,1,67,1912-07,test
3,S,missing,LOW,Mr,8.1583,0.0,0.0,19.0,3464.0,0,68,1912-04,train
3,S,missing,missing,Miss,7.925,4.0,2.0,17.0,3101281.0,1,69,1912-06,train
3,S,missing,missing,Mr,8.6625,2.0,0.0,26.0,315151.0,0,70,1912-07,test
2,S,missing,CA,Mr,10.5,0.0,0.0,32.0,33111.0,0,71,1912-05,train
3,S,missing,CA,Miss,46.9,5.0,2.0,16.0,2144.0,0,72,1912-05,train
2,S,missing,SOC,Mr,73.5,0.0,0.0,21.0,14879.0,0,73,1912-05,train
3,C,missing,missing,Mr,14.4542,1.0,0.0,26.0,2680.0,0,74,1912-04,train
3,S,missing,missing,Mr,56.4958,0.0,0.0,32.0,1601.0,1,75,1912-05,train
3,S,F,missing,Mr,7.65,0.0,0.0,25.0,348123.0,0,76,1912-05,train
3,S,missing,missing,Mr,7.8958,0.0,0.0,29.69911764705882,349208.0,0,77,1912-07,test
3,S,missing,missing,Mr,8.05,0.0,0.0,29.69911764705882,374746.0,0,78,1912-06,train
2,S,missing,missing,Master,29.0,0.0,2.0,0.83,248738.0,1,79,1912-06,train
3,S,missing,missing,Miss,12.475,0.0,0.0,30.0,364516.0,1,80,1912-07,test
3,S,missing,missing,Mr,9.0,0.0,0.0,22.0,345767.0,0,81,1912-06,train
3,S,missing,missing,Mr,9.5,0.0,0.0,29.0,345779.0,1,82,1912-04,train
3,Q,missing,missing,Miss,7.7875,0.0,0.0,29.69911764705882,330932.0,1,83,1912-07,test
1,S,missing,missing,Mr,47.1,0.0,0.0,28.0,113059.0,0,84,1912-05,train
2,S,missing,SOC,Miss,10.5,0.0,0.0,17.0,14885.0,1,85,1912-05,train
3,S,missing,missing,Mrs,15.85,3.0,0.0,33.0,3101278.0,1,86,1912-07,test
3,S,missing,WC,Mr,34.375,1.0,3.0,16.0,6608.0,0,87,1912-04,train
3,S,missing,SOTONOQ,Mr,8.05,0.0,0.0,29.69911764705882,392086.0,0,88,1912-07,test
1,S,C,missing,Miss,263.0,3.0,2.0,23.0,19950.0,1,89,1912-06,train
3,S,missing,missing,Mr,8.05,0.0,0.0,24.0,343275.0,0,90,1912-05,train
3,S,missing,missing,Mr,8.05,0.0,0.0,29.0,343276.0,0,91,1912-07,test
3,S,missing,missing,Mr,7.8542,0.0,0.0,20.0,347466.0,0,92,1912-07,test
1,S,E,WEP,Mr,61.175,1.0,0.0,46.0,5734.0,0,93,1912-06,train
3,S,missing,CA,Mr,20.575,1.0,2.0,26.0,2315.0,0,94,1912-07,test
3,S,missing,missing,Mr,7.25,0.0,0.0,59.0,364500.0,0,95,1912-06,train
3,S,missing,missing,Mr,8.05,0.0,0.0,29.69911764705882,374910.0,0,96,1912-04,train
1,C,A,PC,Mr,34.6542,0.0,0.0,71.0,17754.0,0,97,1912-06,train
1,C,D,PC,Mr,63.3583,0.0,1.0,23.0,17759.0,1,98,1912-07,test
2,S,missing,missing,Mrs,23.0,0.0,1.0,34.0,231919.0,1,99,1912-04,train
2,S,missing,missing,Mr,26.0,1.0,0.0,34.0,244367.0,0,100,1912-05,train
3,S,missing,missing,Miss,7.8958,0.0,0.0,28.0,349245.0,0,101,1912-05,train
3,S,missing,missing,Mr,7.8958,0.0,0.0,29.69911764705882,349215.0,0,102,1912-05,train
