predict,p0,p1,Pclass,Embarked,cabine_prefix,Ticket_str,NameTitle,Fare,SibSp,Parch,Age_Mean,Ticket_int,Survived
0,0.8857715310720835,0.1142284689279165,3,S,missing,missing,Mr,8.05,0.0,0.0,35.0,373450.0,0
0,0.8554336172396189,0.1445663827603811,3,Q,missing,missing,Mr,8.4583,0.0,0.0,29.69911764705882,330877.0,0
0,0.6324909110843511,0.367509088915649,1,S,E,missing,Mr,51.8625,0.0,0.0,54.0,17463.0,0
0,0.5624360930485499,0.4375639069514501,3,S,missing,missing,Master,21.075,3.0,1.0,2.0,349909.0,0
0,0.458481800404116,0.541518199595884,3,S,G,PPP,Miss,16.7,1.0,1.0,4.0,9549.0,1
0,0.8408244242170474,0.1591755757829526,3,S,missing,A,Mr,8.05,0.0,0.0,20.0,52151.0,0
0,0.8835438969901114,0.1164561030098886,3,S,missing,missing,Mr,31.275,1.0,5.0,39.0,347082.0,0
1,0.3357535911700688,0.6642464088299311,2,S,missing,missing,Mrs,16.0,0.0,0.0,55.0,248706.0,1
0,0.5708577903833377,0.4291422096166623,3,S,missing,missing,Miss,21.075,3.0,1.0,8.0,349909.0,0
0,0.81855978079699,0.18144021920301,3,C,missing,missing,Mr,7.225,0.0,0.0,29.69911764705882,2631.0,0
0,0.8890393176628374,0.1109606823371625,3,S,missing,missing,Mr,7.8958,0.0,0.0,29.69911764705882,349216.0,0
0,0.6863210848270305,0.3136789151729695,1,C,missing,PC,LOW,27.7208,0.0,0.0,40.0,17601.0,0
0,0.771786597643972,0.2282134023560281,1,S,missing,missing,Mr,52.0,1.0,0.0,42.0,113789.0,0
0,0.5409482911942081,0.4590517088057919,3,S,missing,missing,Miss,18.0,2.0,0.0,18.0,345764.0,0
0,0.4579173964669708,0.5420826035330292,3,Q,missing,missing,Miss,7.8792,0.0,0.0,19.0,330958.0,1
0,0.8301188164375415,0.1698811835624585,3,C,missing,missing,Mr,21.6792,2.0,0.0,29.69911764705882,2662.0,0
0,0.5324204027308074,0.4675795972691926,3,S,missing,missing,Mrs,17.8,1.0,0.0,18.0,349237.0,0
0,0.8786215141603607,0.1213784858396392,3,S,missing,A,Mr,7.8,0.0,0.0,21.0,439886.0,0
1,0.3116200007321543,0.6883799992678457,2,S,missing,missing,Mrs,26.0,1.0,0.0,29.0,2926.0,1
0,0.450914171359527,0.549085828640473,1,C,B,missing,Mr,61.9792,0.0,1.0,65.0,113509.0,0
0,0.4864313615782473,0.5135686384217527,3,S,missing,CA,Master,46.9,5.0,2.0,11.0,2144.0,0
0,0.5355184520149372,0.4644815479850627,1,S,C,missing,Mr,83.475,1.0,0.0,45.0,36973.0,0
