Pclass,Embarked,cabine_prefix,Ticket_str,NameTitle,Sex,Fare,SibSp,Parch,Age_Mean,Ticket_int,PassengerId,ReferenceDate,dataset,dummy_Pclass_2,dummy_Pclass_3,dummy_Embarked_Missing,dummy_Embarked_Q,dummy_Embarked_S,dummy_cabine_prefix_B,dummy_cabine_prefix_C,dummy_cabine_prefix_D,dummy_cabine_prefix_E,dummy_cabine_prefix_F,dummy_cabine_prefix_G,dummy_cabine_prefix_T,dummy_cabine_prefix_missing,dummy_Ticket_str_CA,dummy_Ticket_str_FCC,dummy_Ticket_str_LINE,dummy_Ticket_str_LOW,dummy_Ticket_str_PC,dummy_Ticket_str_PPP,dummy_Ticket_str_SCAH,dummy_Ticket_str_SCAHBasle,dummy_Ticket_str_SCPARIS,dummy_Ticket_str_SCParis,dummy_Ticket_str_SOC,dummy_Ticket_str_SOTONOQ,dummy_Ticket_str_SWPP,dummy_Ticket_str_WC,dummy_Ticket_str_WEP,dummy_Ticket_str_missing,dummy_NameTitle_Countess,dummy_NameTitle_Dr,dummy_NameTitle_LOW,dummy_NameTitle_Major,dummy_NameTitle_Master,dummy_NameTitle_Miss,dummy_NameTitle_Mlle,dummy_NameTitle_Mr,dummy_NameTitle_Mrs,dummy_NameTitle_Ms,dummy_NameTitle_Sir,dummy_Sex_male,normalized_Fare,normalized_SibSp,normalized_Parch,normalized_Age_Mean,normalized_Ticket_int
3,S,missing,A,Mr,male,7.25,1.0,0.0,22.0,521171.0,1,1912-05,train,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.029290467710188395,0.2,0.0,0.29328621908127206,0.16804855493416979
1,C,C,PC,Mrs,female,71.2833,1.0,0.0,38.0,17599.0,2,1912-04,train,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.28798913061043757,0.2,0.0,0.5107366132101114,0.0056746950967848445
1,S,C,missing,Mrs,female,53.1,1.0,0.0,35.0,113803.0,4,1912-04,train,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.21452742557393156,0.2,0.0,0.46996466431095407,0.0366951148417186
3,S,missing,missing,Mr,male,8.05,0.0,0.0,35.0,373450.0,5,1912-07,test,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.032522519319588494,0.0,0.0,0.46996466431095407,0.1204167784473152
3,Q,missing,missing,Mr,male,8.4583,0.0,0.0,29.69911764705882,330877.0,6,1912-07,test,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.034172077659736066,0.0,0.0,0.39792222950609973,0.1066893624375748
1,S,E,missing,Mr,male,51.8625,0.0,0.0,54.0,17463.0,7,1912-07,test,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.20952784574064076,0.0,0.0,0.7281870073389508,0.005630842688513765
3,S,missing,missing,Master,male,21.075,3.0,1.0,2.0,349909.0,8,1912-07,test,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.08514435958513385,0.6,0.16666666666666666,0.02147322642022289,0.11282612004209831
3,S,missing,missing,Mrs,female,11.1333,0.0,2.0,27.0,347742.0,9,1912-05,train,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.04497925022866765,0.0,0.3333333333333333,0.3612394672465344,0.1121273835073672
2,C,missing,missing,Mrs,female,30.0708,1.0,0.0,14.0,237736.0,10,1912-04,train,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.12148797191993561,0.2,0.0,0.1845610220168524,0.07665658921127574
3,S,G,PPP,Miss,female,16.7,1.0,1.0,4.0,9549.0,11,1912-07,test,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.06746907734622706,0.2,0.16666666666666666,0.04865452568632781,0.003079019460151059
1,S,C,missing,Miss,female,26.55,0.0,0.0,58.0,113783.0,12,1912-04,train,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.10726371278696578,0.0,0.0,0.7825496058711606,0.036688665958149326
3,S,missing,A,Mr,male,8.05,0.0,0.0,20.0,52151.0,13,1912-07,test,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.032522519319588494,0.0,0.0,0.26610491981516715,0.016815786351066904
3,S,missing,missing,Mr,male,31.275,1.0,5.0,39.0,347082.0,14,1912-07,test,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.1263530176049851,0.2,0.8333333333333334,0.5243272628431639,0.11191457034958108
3,S,missing,missing,Miss,female,7.8542,0.0,0.0,14.0,350406.0,15,1912-04,train,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.03173147468818782,0.0,0.0,0.1845610220168524,0.11298637479879484
2,S,missing,missing,Mrs,female,16.0,0.0,0.0,55.0,248706.0,16,1912-07,test,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.06464103218800198,0.0,0.0,0.7417776569720033,0.0801938018490239
3,Q,missing,missing,Master,male,29.125,4.0,1.0,2.0,382652.0,17,1912-06,train,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.11766687890472234,0.8,0.16666666666666666,0.02147322642022289,0.12338390977753931
2,S,missing,missing,Mr,male,13.0,0.0,0.0,29.69911764705882,244373.0,18,1912-05,train,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.0525208386527516,0.0,0.0,0.39792222950609973,0.07879665122374015
3,S,missing,missing,Mrs,female,18.0,1.0,0.0,31.0,345763.0,19,1912-04,train,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.07272116121150222,0.2,0.0,0.4156020657787442,0.1114892664781873
3,C,missing,missing,Mrs,female,7.225,0.0,0.0,29.69911764705882,2649.0,20,1912-06,train,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.02918946609739464,0.0,0.0,0.39792222950609973,0.0008541546287506706
2,S,missing,missing,Mr,male,26.0,0.0,0.0,35.0,239865.0,21,1912-04,train,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.1050416773055032,0.0,0.0,0.46996466431095407,0.07734307286722522
2,S,D,missing,Mr,male,13.0,0.0,0.0,34.0,248698.0,22,1912-04,train,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.0525208386527516,0.0,0.0,0.4563740146779016,0.08019122229559619
3,Q,missing,missing,Miss,female,8.0292,0.0,0.0,15.0,330923.0,23,1912-04,train,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.03243848597774409,0.0,0.0,0.19815167164990488,0.10670419486978415
1,S,A,missing,Mr,male,35.5,0.0,0.0,28.0,113788.0,24,1912-04,train,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.14342229016712937,0.0,0.0,0.37483011687958684,0.03669027817904164
3,S,missing,missing,Miss,female,21.075,3.0,1.0,8.0,349909.0,25,1912-07,test,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.08514435958513385,0.6,0.16666666666666666,0.10301712421853765,0.11282612004209831
3,S,missing,missing,Mrs,female,31.3875,1.0,5.0,38.0,347077.0,26,1912-05,train,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.126807524862557,0.2,0.8333333333333334,0.5107366132101114,0.11191295812868876
3,C,missing,missing,Mr,male,7.225,0.0,0.0,29.69911764705882,2631.0,27,1912-07,test,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.02918946609739464,0.0,0.0,0.39792222950609973,0.0008483506335383218
3,Q,missing,missing,Miss,female,7.8792,0.0,0.0,29.69911764705882,330959.0,29,1912-05,train,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.03183247630098157,0.0,0.0,0.39792222950609973,0.10671580286020885
3,S,missing,missing,Mr,male,7.8958,0.0,0.0,29.69911764705882,349216.0,30,1912-07,test,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.03189954137187662,0.0,0.0,0.39792222950609973,0.11260266622642288
1,C,missing,PC,LOW,male,27.7208,0.0,0.0,40.0,17601.0,31,1912-07,test,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.11199382031732283,0.0,0.0,0.5379179124762163,0.005675339985141773
1,C,B,PC,Mrs,female,146.5208,1.0,0.0,29.69911764705882,17569.0,32,1912-05,train,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5919534843132376,0.2,0.0,0.39792222950609973,0.00566502177143093
