cluster,dummy_Pclass_2,dummy_Pclass_3,dummy_Embarked_Missing,dummy_Embarked_Q,dummy_Embarked_S,dummy_cabine_prefix_B,dummy_cabine_prefix_C,dummy_cabine_prefix_D,dummy_cabine_prefix_E,dummy_cabine_prefix_F,dummy_cabine_prefix_G,dummy_cabine_prefix_T,dummy_cabine_prefix_missing,dummy_Ticket_str_CA,dummy_Ticket_str_FCC,dummy_Ticket_str_LINE,dummy_Ticket_str_LOW,dummy_Ticket_str_PC,dummy_Ticket_str_PPP,dummy_Ticket_str_SCAH,dummy_Ticket_str_SCAHBasle,dummy_Ticket_str_SCPARIS,dummy_Ticket_str_SCParis,dummy_Ticket_str_SOC,dummy_Ticket_str_SOTONOQ,dummy_Ticket_str_SWPP,dummy_Ticket_str_WC,dummy_Ticket_str_WEP,dummy_Ticket_str_missing,dummy_NameTitle_Countess,dummy_NameTitle_Dr,dummy_NameTitle_LOW,dummy_NameTitle_Major,dummy_NameTitle_Master,dummy_NameTitle_Miss,dummy_NameTitle_Mlle,dummy_NameTitle_Mr,dummy_NameTitle_Mrs,dummy_NameTitle_Ms,dummy_NameTitle_Sir,dummy_Sex_male,normalized_Fare,normalized_SibSp,normalized_Parch,normalized_Age_Mean,normalized_Ticket_int,Pclass,Embarked,cabine_prefix,Ticket_str,NameTitle,Sex,Fare,SibSp,Parch,Age_Mean,Ticket_int,dataset
2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0292904677101883,0.2,0.0,0.293286219081272,0.1680485549341697,3,S,missing,A,Mr,male,7.25,1.0,0.0,22.0,521171.0,train
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.2879891306104375,0.2,0.0,0.5107366132101114,0.0056746950967848,1,C,C,PC,Mrs,female,71.2833,1.0,0.0,38.0,17599.0,train
4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.2145274255739315,0.2,0.0,0.469964664310954,0.0366951148417186,1,S,C,missing,Mrs,female,53.1,1.0,0.0,35.0,113803.0,train
2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.0325225193195884,0.0,0.0,0.469964664310954,0.1204167784473152,3,S,missing,missing,Mr,male,8.05,0.0,0.0,35.0,373450.0,test
2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.034172077659736,0.0,0.0,0.3979222295060997,0.1066893624375748,3,Q,missing,missing,Mr,male,8.4583,0.0,0.0,29.69911764705882,330877.0,test
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.2095278457406407,0.0,0.0,0.7281870073389508,0.0056308426885137,1,S,E,missing,Mr,male,51.8625,0.0,0.0,54.0,17463.0,test
2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.0851443595851338,0.6,0.1666666666666666,0.0214732264202228,0.1128261200420983,3,S,missing,missing,Master,male,21.075,3.0,1.0,2.0,349909.0,test
4,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0449792502286676,0.0,0.3333333333333333,0.3612394672465344,0.1121273835073672,3,S,missing,missing,Mrs,female,11.1333,0.0,2.0,27.0,347742.0,train
4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.1214879719199356,0.2,0.0,0.1845610220168524,0.0766565892112757,2,C,missing,missing,Mrs,female,30.0708,1.0,0.0,14.0,237736.0,train
3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.067469077346227,0.2,0.1666666666666666,0.0486545256863278,0.003079019460151,3,S,G,PPP,Miss,female,16.7,1.0,1.0,4.0,9549.0,test
